SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_LONG_NAME_THIS_ENROL,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2013/2014,BC Public School,8,Kootenay Lake,807035,Redfish Elementary School,Standard,"265 BRYAN RD, NELSON, BC",NELSON,BC,V1L6M9,250 229-4224,250 229-5676,49.6137,-117.048,ELEMENTARY,K-5,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,886004,Adam Robertson Elementary,Standard,"421 9TH AVE NORTH, CRESTON, BC",CRESTON,BC,V0B1G0,250 428-2051,250 428-2019,49.09976,-116.5148,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,886005,Jewett Elementary,Standard,"132 MEADOW CREEK RD, MEADOW CREEK, BC",MEADOW CREEK,BC,V0G1N0,250 366-4224,250 366-4429,50.23867,-116.97604,ELEMENTARY,K-4,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,886006,Crawford Bay Elem-Secondary,Standard,"16150 WALKLEY RD, CRAWFORD BAY, BC",CRAWFORD BAY,BC,V0B1E0,250 227-9218,250 227-9525,49.67999,-116.82782,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,886007,Prince Charles Secondary,Standard,"223 18 AVE S, CRESTON, BC",CRESTON,BC,V0B1G0,250 428-2274,250 428-5090,49.09418,-116.50432,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,886012,Yahk Elementary,Standard,"8826 RAILWAY BLVD, YAHK, BC",YAHK,BC,V0B2P0,250 424-5585,250 424-5220,49.0844,-116.09328,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,886014,Canyon/Lister Elementary,Standard,"4575 CANYON-LISTER RD, CANYON, BC",CANYON,BC,V0B1C0,250 428-4161,250 428-2268,49.0825,-116.448,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,886016,Homelinks Centre,District Distance Ed,"617 11TH AVE S, CRESTON, BC",CRESTON,BC,V0B1G0,250 428-2217,250 428-4990,49.0889,-116.51246,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,886018,J V Humphries Elem-Secondary,Standard,"500 6TH ST, KASLO, BC",KASLO,BC,V0G1M0,250 353-2227,250 353-7434,49.91218,-116.91124,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,886019,Erickson Elementary,Standard,"3523 HWY #3, ERICKSON, BC",ERICKSON,BC,V0B1K0,250 428-2363,250 428-5783,49.0917,-116.469,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,8,Kootenay Lake,898001,Distance Ed School of the Kootenays,District Distance Ed,"811 STANLEY ST, NELSON, BC",NELSON,BC,V1L1N8,250 354-4311,250 505-7007,49.48911,-117.29322,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,899178,Wildflower,Standard,"811 STANLEY ST, NELSON, BC",NELSON,BC,V1L1N8,250 505-7020,250 505-7007,49.48911,-117.29322,ELEMENTARY JR SECONDARY,09-Jan,TRUE,TRUE
2013/2014,BC Public School,8,Kootenay Lake,899225,REACH,Alternate,"811 STANLEY ST, NELSON, BC",NELSON,BC,V1L1N8,250 352-5538,250 352-3119,49.48911,-117.29322,SECONDARY,12-Sep,FALSE,TRUE
2013/2014,BC Public School,10,Arrow Lakes,1010003,Edgewood Elementary,Standard,"409 MONASHEE AVENUE, EDGEWOOD, BC",EDGEWOOD,BC,V0G1J0,250 265-3638,Null,49.78097,-118.14618,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,10,Arrow Lakes,1010004,Nakusp Elementary,Standard,"619A 4TH ST NW, NAKUSP, BC",NAKUSP,BC,V0G1R0,250 265-3638,Null,50.24386,-117.80437,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,10,Arrow Lakes,1010006,Nakusp Secondary,Standard,"619 4 ST N W, NAKUSP, BC",NAKUSP,BC,V0G1R0,250 265-3638,250 265-4616,50.2443,-117.805,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,10,Arrow Lakes,1010011,Lucerne Elem-Secondary,Standard,"604 7TH AVENUE, NEW DENVER, BC",NEW DENVER,BC,V0G1S0,250 265-3638,250 358-2533,49.99249,-117.37053,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2013/2014,BC Public School,10,Arrow Lakes,1099217,Arrow Lakes Distributed Learning School,District Distance Ed,"98 6TH AVE NW, NAKUSP, BC",NAKUSP,BC,V0G1R0,250 265-3638,250 265-3701,50.24031,-117.80514,ELEMENTARY SECONDARY,K-12,TRUE,TRUE
2013/2014,BC Public School,19,Revelstoke,1919003,Revelstoke Secondary,Standard,"1007 VERNON AVE, REVELSTOKE, BC",REVELSTOKE,BC,V0E2S0,250 837-2173,250 837-7164,50.99152,-118.19755,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,19,Revelstoke,1919013,Columbia Park Elementary,Standard,"120 COLBECK, REVELSTOKE, BC",REVELSTOKE,BC,V0E2S0,250 837-4744,Null,51.01508,-118.21916,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,19,Revelstoke,1919015,Arrow Heights Elementary,Standard,"1950 PARK DR, REVELSTOKE, BC",REVELSTOKE,BC,V0E2S1,250 837-6360,Null,50.97679,-118.1782,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,19,Revelstoke,1919016,Begbie View Elementary,Standard,"1001 MACKENZIE AVE, REVELSTOKE, BC",REVELSTOKE,BC,V0E2S0,250 837-3085,Null,50.99403,-118.20139,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,20,Kootenay-Columbia,2009006,Kinnaird Elementary,Standard,"2273 10 AVE, CASTLEGAR, BC",CASTLEGAR,BC,V1N2Z8,250 365-8478,250 365-0338,49.28865,-117.65444,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,20,Kootenay-Columbia,2009010,Stanley Humphries Secondary,Standard,"720 7 AVE, CASTLEGAR, BC",CASTLEGAR,BC,V1N1R5,250 365-7735,250 365-0247,49.31996,-117.65969,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,20,Kootenay-Columbia,2009011,Twin Rivers Elementary,Standard,"649 7 AVE, CASTLEGAR, BC",CASTLEGAR,BC,V1N1R6,250 365-8465,250 365-0994,49.3214,-117.65957,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,20,Kootenay-Columbia,2011005,Fruitvale Elementary,Standard,"1867 W COLUMBIA GDNS RD B580, FRUITVALE, BC",FRUITVALE,BC,V0G1L0,250 367-7541,250 367-7027,49.1119,-117.546,ELEMENTARY,K-7,TRUE,FALSE
