Geo_Code,CSD_Name,CD_Name,CSD_type,Couple-only Median family income ($),"Household total income Under $5,000","Household total income $10,000 to $14,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $15,000 to $19,999","Household total income $150,000 and over","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $5,000 to $9,999","Household total income $50,000 to $59,999","Household total $60,000 to $79,999","Household total income $80,000 to $99,999",% of owner households spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Couple-only economic families,Couple-with-children economic families,Lone-parent economic families,Economic families Median family income ($),Private households Median household total income ($),Individuals Median income ($),Not in economic family Median total income ($),Median value of dwellings ($),Spending 30% or more of household total income on shelter costs, Spending less than 30% of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($), % of tenant households in subsidized housing,% of tenant households spending 30% or more of household total income on shelter costs
5947807,Dolphin Island 1,Skeena-Queen Charlotte,Indian reserve,37814,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,60,25,30870,28745,10241,8330,0,0,0,0,0,0,0,0
5949005,Kitimat,Kitimat-Stikine,District municipality,71445,115,145,330,365,125,400,210,250,345,110,320,455,480,10.9,50.2,1150,980,375,84615,65998,34038,37289,134687,585,3040,440,608,600,14.4,33.5
5949011,Terrace,Kitimat-Stikine,City,70447,80,185,515,275,280,385,550,460,400,70,315,570,450,10.8,50.5,1150,1345,575,75844,58592,30071,27707,200371,930,3590,800,683,700,28.7,43.9
5949013,Kitimat-Stikine C (Part 1),Kitimat-Stikine,Regional district electoral area,54407,0,15,90,55,80,140,60,125,110,0,190,160,60,7.2,48.8,430,300,50,68363,58444,32697,29593,200615,120,960,100,633,734,0,24.5
5949018,Kitimat-Stikine E,Kitimat-Stikine,Regional district electoral area,68507,90,75,145,100,105,100,155,200,110,35,120,200,240,10.6,54.9,445,455,195,74203,55236,27662,28515,145140,345,1330,225,580,811,5.6,47.8
5949022,Hazelton,Kitimat-Stikine,Village,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,72.7,Null,Null,Null,Null,Null,Null,Null,160353,Null,Null,Null,1162,748,0,Null
5949024,New Hazelton,Kitimat-Stikine,District municipality,59526,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,18.2,63.6,50,85,40,60017,50285,22561,22080,119980,65,175,55,865,656,0,37.5
5949028,Kitimat-Stikine B,Kitimat-Stikine,Regional district electoral area,63387,25,60,45,15,20,20,55,100,100,15,20,120,75,15.3,41.1,250,165,30,52192,48645,25822,19894,150032,105,545,85,409,600,0,26.3
5949802,Kitasoo 1,Kitimat-Stikine,Indian reserve,40192,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,40,10,41216,36672,14805,15808,0,0,0,0,0,0,0,0
5949803,Kitamaat 2,Kitimat-Stikine,Indian reserve,44714,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,15,55,45,48605,39591,15441,15146,0,0,0,0,0,0,0,0
5949807,Kulspai 6,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949810,Coryatsaqua (Moricetown) 2,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949811,Hagwilget 1,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949812,Gitanmaax 1,Kitimat-Stikine,Indian reserve,30064,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,0,0,30,85,40,38773,33379,14382,15115,0,0,0,0,0,0,0,0
5949813,Kispiox 1,Kitimat-Stikine,Indian reserve,27324,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,25,60,40,26455,18151,9824,9393,0,0,0,0,0,0,0,0
5949816,Gitwangak 1,Kitimat-Stikine,Indian reserve,32522,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,25,65,35,23390,21894,8286,6386,0,0,0,0,0,0,0,0
5949817,Moricetown 1,Kitimat-Stikine,Indian reserve,32918,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,10,25,20,39601,32153,15790,8115,0,0,0,0,0,0,0,0
5949818,Sik-e-dakh 2,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949819,Babine 17,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949832,Iskut 6,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949843,Guhthe Tah 12,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949844,Kitselas 1,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5949845,Dease Lake 9,Kitimat-Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951007,Vanderhoof,Bulkley-Nechako,District municipality,65997,45,45,175,140,170,145,130,125,105,45,125,250,200,10.7,58.9,450,550,195,74393,63520,29632,25216,200132,345,1355,285,759,649,13.6,48.3
5951009,Fraser Lake,Bulkley-Nechako,Village,66905,0,0,40,15,40,40,45,40,20,0,30,110,75,0,39.4,120,145,50,75135,68948,26896,22567,149771,45,415,35,389,682,15.4,34.6
5951013,Fort St. James,Bulkley-Nechako,District municipality,63181,15,15,85,10,75,15,70,55,75,0,45,135,60,11.4,62.2,195,200,60,63061,55625,27145,21022,159007,160,500,155,803,689,13.3,48.9
5951015,Bulkley-Nechako C,Bulkley-Nechako,Regional district electoral area,56270,10,0,75,80,30,65,70,30,35,0,40,85,65,9.3,43.9,190,220,30,92412,69615,31702,27426,199840,55,520,50,452,696,0,0
5951022,Burns Lake,Bulkley-Nechako,Village,60543,35,60,65,45,50,35,70,90,45,15,90,115,75,15.2,63.3,200,195,105,60780,53615,24348,24439,150204,170,595,145,884,603,35.6,29.7
5951028,Bulkley-Nechako B,Bulkley-Nechako,Regional district electoral area,53335,0,0,55,60,20,50,55,105,70,45,75,105,115,9.4,54.7,275,295,40,63201,59738,30881,27140,179981,90,640,75,704,576,31.6,36.8
5951031,Bulkley-Nechako E,Bulkley-Nechako,Regional district electoral area,66827,0,0,85,25,65,0,70,70,25,0,50,115,70,9.2,41.4,265,155,50,72701,61101,27905,33191,250812,75,445,75,375,552,0,50
5951032,Granisle,Bulkley-Nechako,Village,40294,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,0,32.3,85,0,0,41598,38590,20484,23183,79096,20,155,20,395,0,0,0
5951034,Houston,Bulkley-Nechako,District municipality,97233,50,70,190,90,30,115,125,45,100,10,65,180,190,8.6,66.3,315,420,55,97568,71224,29999,28417,149990,215,1050,165,880,621,22.1,35.9
5951038,Telkwa,Bulkley-Nechako,Village,62708,0,0,35,40,0,50,30,45,50,0,90,90,65,16.3,67.8,115,230,30,74470,63715,32710,42219,200291,85,405,80,1079,982,0,0
5951043,Smithers,Bulkley-Nechako,Town,72298,35,30,265,125,185,135,305,180,125,0,145,330,320,10.2,56.6,560,595,225,81422,65291,30586,24631,250622,365,1825,330,848,623,14.4,38.8
5951051,Bulkley-Nechako A,Bulkley-Nechako,Regional district electoral area,74965,10,0,270,175,60,165,285,130,185,20,150,335,235,12.7,50.6,705,725,140,77731,72741,30497,33636,300574,230,1590,215,573,666,0,14.3
5951053,Bulkley-Nechako G,Bulkley-Nechako,Regional district electoral area,85306,0,25,95,0,0,40,55,40,25,0,0,35,50,6.2,43.1,175,95,0,91224,67501,28171,22748,150087,45,335,50,324,697,0,0
5951801,Ye Koo Che 3,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951802,Nautley (Fort Fraser) 1,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951803,Nak'azdli (Necoslie 1),Bulkley-Nechako,Indian reserve,39798,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,10,60,55,39222,31449,15136,15561,0,0,0,0,0,0,0,0
5951805,Binche 2 (Pinchie 2),Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951807,Stellaquo (Stella) 1,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951809,Stony Creek 1,Bulkley-Nechako,Indian reserve,16012,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,10,40,30,26846,16095,8196,4132,0,0,0,0,0,0,0,0
5951810,Tache 1,Bulkley-Nechako,Indian reserve,38022,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,45,30,29140,26358,8870,7614,0,0,0,0,0,0,0,0
5951815,Burns Lake 18,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951818,Cheslatta 1,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951827,Woyenne 27,Bulkley-Nechako,Indian reserve,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,0,0,10,30,15,42117,35906,13106,7889,0,0,0,0,0,0,0,0
5951828,Babine  6,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951829,Babine 25,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5951848,North Tacla Lake,Bulkley-Nechako,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5953007,Valemount,Fraser-Fort George,Village,57148,0,10,40,0,65,0,50,80,55,0,45,40,80,12.9,43.5,175,90,25,62555,45489,20963,20426,179376,95,380,90,673,673,16,42.3
5953012,McBride,Fraser-Fort George,Village,18548,0,40,0,0,55,0,0,35,25,0,0,40,20,30.6,50,55,55,20,43515,31120,18848,17186,149949,90,165,70,505,605,0,42.9
5953019,Fraser-Fort George H,Fraser-Fort George,Regional district electoral area,40557,40,0,45,0,50,25,40,125,140,0,90,70,60,9.1,42,270,225,20,46909,45034,23820,35936,174999,55,510,45,360,748,0,0
5953023,Prince George,Fraser-Fort George,City,73903,750,1060,3010,1910,1670,2655,2655,2340,2455,560,2200,4475,3515,14.6,62.4,7525,8245,3590,77528,63653,31192,26221,229925,6830,22335,5675,986,749,12.6,43.8
5953033,Mackenzie,Fraser-Fort George,District municipality,66360,25,20,230,100,75,45,175,215,110,0,205,175,165,12.4,66,385,400,185,73076,57094,31160,38204,125269,255,1310,220,765,701,8.5,29.6
5953038,Fraser-Fort George A,Fraser-Fort George,Regional district electoral area,70226,60,35,130,165,40,95,65,100,35,0,85,175,230,15.2,57.3,590,440,55,82982,80982,33168,25450,250861,170,935,135,845,767,0,0
5953042,Fraser-Fort George C,Fraser-Fort George,Regional district electoral area,85638,0,0,155,80,15,190,25,65,85,0,55,250,305,8.7,62.4,535,500,25,92751,85884,36984,36200,300232,110,1130,100,1083,276,0,0
5953044,Fraser-Fort George D,Fraser-Fort George,Regional district electoral area,68045,110,40,145,150,35,170,100,90,80,0,140,345,230,14.5,64.8,615,565,80,79423,70900,34261,27063,250664,255,1285,165,969,604,0,52.9
5953048,Fraser-Fort George F,Fraser-Fort George,Regional district electoral area,53655,15,15,20,35,40,0,45,65,105,0,55,70,65,14.6,54.2,175,125,40,55422,48658,32779,40598,224636,100,440,85,695,602,0,0
5953802,McLeod Lake 1,Fraser-Fort George,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5955003,Tumbler Ridge,Peace River,District municipality,92667,10,0,140,100,30,135,110,70,65,0,105,130,230,9.6,71.2,320,400,110,92631,85808,40586,32552,200271,160,980,130,1069,1002,11.1,23.6
5955010,Chetwynd,Peace River,District municipality,78747,15,0,135,75,20,115,45,95,60,0,115,130,180,9,69.2,230,305,130,88040,78110,35798,39701,214510,145,905,105,1009,785,0,22.1
5955014,Dawson Creek,Peace River,City,67125,160,200,410,330,280,465,445,415,405,115,435,590,605,16.8,63.2,1130,1250,570,80194,58416,33490,28148,249891,1195,3640,940,1015,849,18.9,39.1
5955021,Peace River D,Peace River,Regional district electoral area,70133,30,0,190,265,60,260,190,175,165,45,65,310,270,13,60.3,785,655,105,84763,74948,34494,33778,299480,260,1420,190,935,1198,0,33.3
5955025,Hudson's Hope,Peace River,District municipality,82341,0,0,40,40,75,50,45,20,45,0,0,35,50,11.7,38.3,135,75,75,83947,60583,26747,16012,249995,110,310,110,342,801,0,66.7
5955030,Taylor,Peace River,District municipality,80816,0,0,115,45,30,40,45,50,35,0,10,70,70,15.3,78.8,160,230,65,89060,80614,31746,31058,210658,135,400,130,1136,887,0,60.9
5955034,Fort St. John,Peace River,City,96289,285,140,1020,730,340,1205,420,555,455,120,570,755,890,19.2,74.1,1800,2305,715,97889,81298,39549,35633,292071,1920,5550,1475,1344,936,9.8,35.8
5955040,Peace River B,Peace River,Regional district electoral area,69931,35,0,290,140,0,265,75,65,110,0,105,310,185,15.6,68.6,590,740,65,93437,88610,38273,39759,329811,200,1060,165,1243,550,0,0
5955042,Peace River C,Peace River,Regional district electoral area,106564,100,0,325,210,60,510,70,75,100,45,155,260,410,14,57,750,950,120,105395,94017,42221,42845,360310,370,1875,235,1033,1109,0,34
5955801,East Moberly Lake 169,Peace River,Indian reserve,42627,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,0,0,10,35,30,49879,44851,20893,20117,0,0,0,0,0,0,0,0
5955802,West Moberly Lake 168A,Peace River,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5955803,Blueberry River 205,Peace River,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5955807,Fort Ware 1,Peace River,Indian reserve,18624,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,0,0,10,30,15,25393,23896,11394,11488,0,0,0,0,0,0,0,0
5955808,Halfway River 168,Peace River,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5955812,Ingenika Point,Peace River,Indian settlement,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5957803,Five Mile Point  3,Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5957813,Lower Post,Stikine,Indian settlement,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5957814,Liard River 3,Stikine,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5959007,Northern Rockies,Northern Rockies,Regional municipality,91294,35,0,250,195,75,365,90,170,140,0,115,290,250,7.5,64.1,520,685,140,96268,86470,40002,38273,250359,210,1780,165,1153,851,3.8,19.2
5959806,Fort Nelson 2,Northern Rockies,Indian reserve,26598,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,65,30,52624,45298,17374,18816,0,0,0,0,0,0,0,0
5959810,Prophet River 4,Northern Rockies,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
