Geo_Code,CSD_Name,CD_Name,CSD_type,Couple-only Median family income ($),"Household total income Under $5,000","Household total income $10,000 to $14,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $15,000 to $19,999","Household total income $150,000 and over","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $5,000 to $9,999","Household total income $50,000 to $59,999","Household total $60,000 to $79,999","Household total income $80,000 to $99,999",% of owner households spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Couple-only economic families,Couple-with-children economic families,Lone-parent economic families,Economic families Median family income ($),Private households Median household total income ($),Individuals Median income ($),Not in economic family Median total income ($),Median value of dwellings ($),Spending 30% or more of household total income on shelter costs, Spending less than 30% of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($), % of tenant households in subsidized housing,% of tenant households spending 30% or more of household total income on shelter costs
5909830,Tzeachten 13,Fraser Valley,Indian reserve,51684,30,10,25,0,55,10,55,120,110,15,70,135,45,0,0,385,55,25,51645,44834,22328,27110,0,0,0,0,0,0,0,0
5909832,Seabird Island,Fraser Valley,Indian reserve,32694,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,35,55,45,40150,33806,16565,15115,0,0,0,0,0,0,0,0
5909837,Cheam 1,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909839,Chehalis 5,Fraser Valley,Indian reserve,46867,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,0,0,35,75,50,45087,39160,15276,15105,0,0,0,0,0,0,0,0
5909841,Stullawheets 8,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909845,Skookumchuck 4,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909875,Q'alatkÅÒ7em,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909877,Upper Sumas 6,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909878,Matsqui Main 2,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909879,Holachten 8,Fraser Valley,Indian reserve,42184,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,35,20,20,42666,38180,19372,20698,0,0,0,0,0,0,0,0
5909880,Lakahahmen 11,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909881,Skweahm 10,Fraser Valley,Indian reserve,52627,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,0,0,45,35,0,54970,52079,23434,21798,0,0,0,0,0,0,0,0
5909882,Squawkum Creek 3,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5909884,Skowkale,Fraser Valley,Indian reserve,44964,15,10,15,0,30,10,60,45,50,0,35,45,25,0,0,175,65,25,48303,42884,20817,21410,0,0,0,0,0,0,0,0
5909885,Squiaala,Fraser Valley,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5915001,Langley,Greater Vancouver,District municipality,75293,890,695,4790,3355,1375,5165,2175,3055,2680,510,2790,5385,4385,24.8,64.2,10280,14625,3555,88986,76847,33749,32721,501361,9915,26425,8020,1381,1001,8.1,40.7
5915002,Langley,Greater Vancouver,City,67361,460,485,885,540,930,545,1030,1250,1245,230,845,1550,1315,27,67.6,2605,2575,1155,71930,50231,29267,26393,300696,3910,7390,3120,1162,853,28,48.7
5915004,Surrey,Greater Vancouver,City,71791,4505,4140,16085,10995,6180,17910,11495,12920,13030,2855,12185,22375,18165,27.3,66.4,32240,66530,15650,78283,67702,26799,28831,500746,45755,106400,37180,1391,794,11.3,37.7
5915007,White Rock,Greater Vancouver,City,74329,245,380,905,430,625,905,1140,935,845,180,730,1630,905,24.9,51.5,2670,1485,690,79174,56946,32789,34859,450494,3090,6765,2485,850,891,10,45.1
5915011,Delta,Greater Vancouver,District municipality,80877,575,610,4355,3270,1250,5840,2045,2400,2440,490,2410,4930,4140,20.3,57.3,9145,14690,3005,94007,80874,33188,32391,562181,8135,26450,6755,1196,864,13.7,37.2
5915015,Richmond,Greater Vancouver,City,66491,3220,2205,6250,4020,3145,7250,6265,6270,5535,1700,5400,9440,7270,32,54.9,14330,28380,7680,69553,60479,23694,28927,601945,23990,43570,17770,1047,1101,15.3,47.5
5915020,Greater Vancouver A,Greater Vancouver,Regional district electoral area,71845,755,240,425,215,275,640,570,375,260,435,215,335,305,41.3,54.2,915,1790,575,52194,36089,16738,7759,753578,2725,2250,1325,1293,1226,14.9,68.6
5915022,Vancouver,Greater Vancouver,City,77862,14115,12250,21650,13935,16550,30270,23885,23065,23490,6855,19445,33690,25370,28.9,52.3,55510,63485,21345,77515,56113,27815,27845,752016,99450,164140,74475,1119,1004,14,46
5915025,Burnaby,Greater Vancouver,City,67466,4960,2820,7705,4895,4925,8245,8085,8135,7990,2055,6790,11420,8820,29.1,54,18785,29410,8705,71511,56136,25463,25715,600941,30550,55920,22495,1030,966,15.2,46.2
5915029,New Westminster,Greater Vancouver,City,77582,1365,1225,2420,1655,1865,2335,2765,2955,3125,705,2635,4410,3120,27,66.3,6750,7005,2410,78026,54664,31391,31176,400729,10520,19995,8365,1338,830,14.7,44.1
5915034,Coquitlam,Greater Vancouver,City,74436,1670,1215,5000,3270,1970,6090,3535,3715,3615,1120,3335,6000,5010,27.5,62.1,9760,18975,4835,82067,67787,29112,30585,599465,14875,30515,11420,1310,949,11.3,48.2
5915036,Belcarra,Greater Vancouver,Village,139462,0,0,20,45,0,105,10,0,15,0,0,20,35,26,51,140,85,0,140217,139673,58693,46986,1393995,65,200,60,1306,687,0,0
5915038,Anmore,Greater Vancouver,Village,152609,0,0,30,30,0,310,0,30,20,0,50,55,80,27,71.6,165,385,25,160038,145286,47120,40873,1102094,160,465,145,1949,1604,0,0
5915039,Port Coquitlam,Greater Vancouver,City,83751,480,500,2475,1655,630,2460,1385,1460,1815,470,1715,2795,2805,25.7,70.3,4715,8175,2420,85722,72563,33623,37001,489678,6105,14465,5010,1426,913,19.9,43.9
5915043,Port Moody,Greater Vancouver,City,87199,375,210,1530,1150,390,2095,635,805,970,230,875,1825,1535,25.1,67.9,3155,4890,1235,93142,79918,38151,41068,539932,3615,8995,2795,1529,1281,11.3,40.7
5915046,North Vancouver,Greater Vancouver,District municipality,86780,575,595,3400,2695,1070,7215,1805,1835,1785,440,2080,3750,3310,25.2,53.5,7545,12920,2990,103206,87322,36832,35365,850744,8630,21835,7080,1195,1203,15.9,42
5915051,North Vancouver,Greater Vancouver,City,79040,860,770,2275,1190,1225,2320,1945,2210,2340,405,1770,3275,2210,26.9,60.4,5080,5130,2260,79132,59373,34515,35837,599985,7800,14870,6245,1209,1017,10.8,43.4
5915055,West Vancouver,Greater Vancouver,District municipality,106478,460,385,1250,1150,925,5095,1115,1220,1195,305,955,1610,1410,26,38.9,4945,5615,1295,115425,84345,36574,36102,1299894,5430,11540,4045,988,1284,11.6,54.5
5915065,Lions Bay,Greater Vancouver,Village,101589,0,0,95,80,0,115,0,20,25,0,25,35,95,21.8,52.3,235,185,0,109563,106970,43651,40266,1001342,110,390,95,1446,773,0,23.1
5915070,Pitt Meadows,Greater Vancouver,City,79036,185,130,850,650,335,705,390,585,505,90,520,980,790,28,69.5,1710,2530,720,86076,73065,34549,33300,459965,1950,4675,1590,1411,922,16.4,34.9
5915075,Maple Ridge,Greater Vancouver,District municipality,70609,685,690,3535,2205,1405,3040,1745,2055,2225,430,2140,4415,3465,27.1,70.7,6830,10585,3225,84155,71078,32412,27058,449365,8510,19285,7080,1500,868,15.7,45.1
5915801,Semiahmoo,Greater Vancouver,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5915802,Tsawwassen,Greater Vancouver,Indian reserve,107456,10,15,25,0,0,65,25,10,45,20,15,20,15,0,0,105,65,45,79905,56945,29689,18664,0,0,0,0,0,0,0,0
5915803,Musqueam 2,Greater Vancouver,Indian reserve,78812,40,15,55,35,35,115,50,45,45,30,20,45,25,0,0,130,185,100,74441,58935,21197,16037,0,0,0,0,0,0,0,0
5915806,Burrard Inlet 3,Greater Vancouver,Indian reserve,99289,0,0,90,30,0,90,65,90,40,40,55,115,95,0,0,210,125,110,93058,69201,38405,52355,0,0,0,0,0,0,0,0
5915807,Mission 1,Greater Vancouver,Indian reserve,43778,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,25,65,45,42515,36881,12644,4077,0,0,0,0,0,0,0,0
5915808,Capilano 5,Greater Vancouver,Indian reserve,37234,110,110,65,20,165,45,145,160,140,70,90,100,75,0,0,225,230,195,34729,32752,18504,27036,0,0,0,0,0,0,0,0
5915811,Seymour Creek 2,Greater Vancouver,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5915816,McMillan Island 6,Greater Vancouver,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5915825,Matsqui 4,Greater Vancouver,Indian reserve,42027,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,0,0,140,0,0,42056,37060,19575,28289,0,0,0,0,0,0,0,0
5915830,Katzie 1,Greater Vancouver,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5917005,North Saanich,Capital,District municipality,93631,80,35,515,375,90,970,310,340,265,35,350,575,570,16.4,43.1,2050,1260,240,99487,89835,36154,32221,728626,810,3645,685,709,848,14.7,33
