Geo_Code,CSD_Name,CD_Name,CSD_type,Lat,Lon,Median value of dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),% of owner households spending 30% or more of household total income on shelter costs,% of tenant households spending 30% or more of household total income on shelter costs, % of tenant households in subsidized housing,"Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Median after-tax household income,"Household total income Under $5,000","Household total income $5,000 to $9,999","Household total income $10,000 to $14,999","Household total income $15,000 to $19,999","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $50,000 to $59,999","Household total income $60,000 to $79,999","Household total income $80,000 to $99,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $150,000 and over",Private households Median household total income
5915825,Matsqui 4,Greater Vancouver,Indian reserve,49.00521101,-122.4762864,0,0,0,0,0,0,20,0,0,0,0,20.4,0,215,30,0,210,35,0,35724,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,Null,Null,Null,37060
5915830,Katzie 1,Greater Vancouver,Indian reserve,49.20284173,-122.6736705,0,0,0,Null,Null,0,40,10,10,0,0,20.3,10,0,30,20,55,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5917005,North Saanich,Capital,District municipality,48.6566704,-123.440701,728626,709,848,16.4,33,14.7,3970,295,110,160,145,15.8,280,720,1945,1560,4025,480,0,78544,80,35,35,90,310,340,265,350,575,570,515,375,970,89835
5917010,Sidney,Capital,Town,48.65198043,-123.4070892,450051,750,1081,24.5,52.6,4.8,3125,320,470,155,120,15.7,700,2195,1575,860,4280,1045,0,50137,65,120,85,315,660,620,550,435,985,615,440,185,255,55687
5917015,Central Saanich,Capital,District municipality,48.58042263,-123.4221662,558248,956,921,18.7,40.6,16.8,6280,455,290,230,185,20.2,665,1505,2470,1960,5315,1285,0,67818,55,50,110,280,465,475,635,500,890,860,840,495,925,77324
5917021,Saanich,Capital,District municipality,48.49688788,-123.3898938,598306,935,948,21.7,44.8,15.8,38680,6455,3035,2790,1135,15.8,6130,11500,13435,14325,33245,12140,0,60876,1135,670,1180,2025,3330,3765,4100,3640,6585,5415,4870,3290,5385,68393
5917027,Capital F,Capital,Regional district electoral area,48.81374775,-123.4972162,525275,602,774,28.6,56.2,10.5,2955,160,265,80,80,11.5,540,1655,1545,925,3845,815,0,48316,235,100,140,295,515,470,405,505,675,495,340,310,175,53523
5917029,Capital G,Capital,Regional district electoral area,48.81976326,-123.3161237,449363,408,836,16.4,51.7,10.2,1440,50,85,65,20,15.4,345,1065,865,260,2235,295,0,46889,60,30,80,235,335,235,260,350,325,260,155,75,125,52025
5917030,Oak Bay,Capital,District municipality,48.43542223,-123.3103494,776697,771,906,17.2,50.9,12.5,4450,725,700,700,275,15.5,1240,1785,2060,2675,5880,1885,0,70754,155,175,135,340,645,545,485,545,855,700,910,630,1650,80388
5917034,Victoria,Capital,City,48.42835017,-123.3564126,456218,1025,865,25.2,49.4,13.1,20040,5565,9105,4250,990,15.8,18410,15440,5815,3295,17485,25475,0,41337,1660,1165,2725,3135,4825,5365,4540,3530,5885,3895,2730,1540,1965,45827
5917040,Esquimalt,Capital,District municipality,48.43372014,-123.4114521,449490,1132,874,24.1,45.3,13,5270,1340,950,530,240,17.1,2150,3005,1935,945,3975,4065,0,48656,185,90,510,425,870,735,915,720,1405,815,765,285,315,52956
5917041,Colwood,Capital,City,48.42629174,-123.4865303,500696,1343,1002,20.6,28.9,22.3,6790,585,235,230,190,28,440,1150,2460,2050,4775,1320,0,71839,90,155,50,215,220,335,455,470,935,1090,875,590,615,82703
5917042,Metchosin,Capital,District municipality,48.37788861,-123.5697542,673069,980,949,23.9,20.7,10.2,1875,50,65,50,35,30.4,180,325,705,575,1485,300,0,70990,25,0,15,125,75,85,125,110,320,250,215,185,250,80834
5917044,Langford,Capital,City,48.45103525,-123.529042,466608,1516,1097,27.9,45.9,10.3,13065,985,845,275,230,25.4,1320,2970,4315,3080,8855,2825,0,62069,325,150,300,505,665,815,1105,1100,1765,1655,1365,910,1020,69820
5917047,View Royal,Capital,Town,48.47107721,-123.4625302,527487,1215,1003,21.3,36.5,13.6,3755,630,130,175,85,20.5,580,950,1500,915,2845,1100,0,65672,65,75,90,195,205,290,310,350,585,500,515,285,480,74519
5917049,Highlands,Capital,District municipality,48.51533294,-123.5038913,641398,1508,1057,17.4,0,0,1025,20,25,0,30,25.3,15,125,275,360,745,35,0,87881,0,0,0,0,0,35,45,45,75,145,150,60,175,96805
5917052,Sooke,Capital,District municipality,48.39703627,-123.6924245,409991,1393,950,27,50.9,16.3,4505,470,225,35,105,35.1,325,1180,1910,1090,3675,835,0,58003,130,55,125,210,360,380,445,390,745,485,525,350,310,64867
5917054,Capital H (Part 1),Capital,Regional district electoral area,48.43775092,-123.6899392,501256,1094,1273,24.1,46.3,0,1700,135,40,0,40,40.3,175,465,755,430,1555,270,0,58901,55,50,45,75,175,125,120,195,300,210,255,110,120,67985
5917801,Cole Bay 3,Capital,Indian reserve,48.62260232,-123.4562016,0,0,0,0,0,0,50,10,10,0,0,10.7,0,15,35,25,50,0,25,31322,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,32395
5917802,Union Bay 4,Capital,Indian reserve,48.6646278,-123.4492898,0,0,0,Null,Null,0,15,0,0,0,0,10.8,0,10,10,15,25,10,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5917803,East Saanich 2,Capital,Indian reserve,48.58783574,-123.3884536,0,0,0,0,0,0,445,35,50,10,20,20.4,155,480,175,45,785,40,25,41362,20,10,45,55,105,110,125,100,160,70,45,10,10,45107
5917804,South Saanich 1,Capital,Indian reserve,48.58492503,-123.4553224,0,0,0,0,0,0,180,15,10,0,0,15.6,15,55,85,45,160,35,15,41481,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,Null,Null,Null,41564
5917812,New Songhees 1A,Capital,Indian reserve,48.44533107,-123.4236545,0,0,0,0,0,0,450,75,55,20,0,16.7,70,540,185,45,635,200,0,45132,0,10,35,45,125,110,100,130,160,70,35,0,0,47155
5917815,Gordon River 2,Capital,Indian reserve,48.57794041,-124.4061714,0,0,0,Null,Null,0,15,0,15,0,0,5.3,0,10,10,10,20,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5917819,T'Sou-ke,Capital,Indian reserve,48.37062716,-123.7304502,0,0,0,Null,Null,0,85,0,15,0,0,15.1,0,15,40,20,45,15,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919008,North Cowichan,Cowichan Valley,District municipality,48.8398345,-123.6977142,375920,791,730,18.9,57.7,16,10520,270,680,200,195,15.4,965,2895,5105,3085,9355,2700,0,51277,230,260,450,620,1375,1360,1120,1035,1740,1345,1220,550,740,55979
5919012,Duncan,Cowichan Valley,City,48.77939698,-123.7021517,274441,460,794,24.8,62.3,14.6,1330,40,215,50,0,10.9,570,1020,625,175,1350,1035,0,33401,95,60,180,235,460,285,280,220,215,155,110,35,55,35703
5919013,Cowichan Valley D,Cowichan Valley,Regional district electoral area,48.74322692,-123.6257204,400745,965,572,18.8,29,0,1175,25,55,0,0,15.7,125,275,525,355,1120,155,0,59598,25,10,70,20,45,150,140,65,240,185,190,50,70,68917
5919015,Cowichan Valley G,Cowichan Valley,Regional district electoral area,48.97545263,-123.9784566,400926,492,783,22.5,56.5,0,825,0,0,0,40,20.6,105,325,290,270,875,115,0,48402,0,10,45,25,85,185,115,60,180,100,85,30,55,51925
5919016,Lake Cowichan,Cowichan Valley,Town,48.82361401,-124.0600474,299052,682,672,20,57.6,25.4,1050,0,75,15,0,25.2,120,335,480,360,1005,295,0,42672,25,20,95,130,155,155,100,140,200,120,75,50,25,44170
5919017,Cowichan Valley H,Cowichan Valley,Regional district electoral area,49.01973816,-123.8916791,420019,789,657,23.5,10.3,0,790,0,50,0,15,20.8,105,255,385,275,870,145,0,51199,0,0,90,15,130,125,85,95,165,130,45,55,50,55972
5919021,Ladysmith,Cowichan Valley,Town,48.97514547,-123.8084561,340923,835,853,18.3,45,22.1,2980,0,340,0,125,20.3,250,835,1410,910,2710,700,0,49889,40,85,30,170,370,405,415,315,465,340,325,280,180,54413
5919035,Cowichan Valley I,Cowichan Valley,Regional district electoral area,48.95487585,-124.3475088,399886,700,783,29.8,0,0,330,0,0,0,0,25.1,0,215,265,85,475,100,0,33672,50,0,0,20,100,90,45,40,75,30,25,10,20,35197
5919043,Cowichan Valley A,Cowichan Valley,Regional district electoral area,48.61177685,-123.5557824,479635,580,751,16.2,37.5,9.4,1690,35,85,0,25,25.7,155,390,710,510,1605,165,0,64914,35,20,0,70,180,210,85,105,270,210,180,205,190,74378
5919046,Cowichan Valley B,Cowichan Valley,Regional district electoral area,48.64830916,-123.7195294,424956,1375,1096,22.6,45.6,0,3705,65,70,35,35,30.9,155,595,1195,1120,2785,280,0,69175,80,70,40,75,225,190,205,200,475,510,300,295,405,78731
5919049,Cowichan Valley C,Cowichan Valley,Regional district electoral area,48.69746982,-123.5795347,450411,644,991,17.6,35.5,0,1595,45,40,15,45,25.3,45,755,835,475,1955,160,0,64618,55,0,45,45,220,145,165,145,370,325,225,190,175,71108
5919051,Cowichan Valley E,Cowichan Valley,Regional district electoral area,48.77700791,-123.789191,380737,1029,803,22,47.2,22.2,1560,20,45,0,35,15.8,80,290,655,485,1335,180,0,64554,25,10,70,70,130,145,120,85,195,305,195,75,100,74475
5919801,Halalt 2,Cowichan Valley,Indian reserve,48.8760969,-123.6930047,0,0,0,Null,Null,0,35,0,10,0,0,15.1,0,10,15,10,25,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919802,Squaw-hay-one 11,Cowichan Valley,Indian reserve,48.90140103,-123.6951572,0,0,0,Null,Null,0,0,0,0,0,0,0,0,0,0,10,0,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919803,Tsussie 6,Cowichan Valley,Indian reserve,48.88347783,-123.6757673,0,0,0,Null,Null,0,15,0,0,0,0,25.6,0,0,15,0,10,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919804,Chemainus 13,Cowichan Valley,Indian reserve,49.01248083,-123.7850704,0,0,0,0,0,0,105,0,10,0,0,16,0,15,55,75,45,20,90,37628,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,38346
5919809,Kuper Island 7,Cowichan Valley,Indian reserve,48.96171047,-123.6455005,0,0,0,0,0,0,55,0,10,0,0,25.3,0,15,75,35,65,15,50,19645,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,19645
5919814,Malachan 11,Cowichan Valley,Indian reserve,48.80774435,-124.6688167,0,0,0,Null,Null,0,10,0,25,0,0,4.5,0,25,15,15,25,10,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919815,Malahat 11,Cowichan Valley,Indian reserve,48.62033328,-123.5301806,0,0,0,Null,Null,0,10,0,0,0,0,3,0,0,0,10,0,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919816,Oyster Bay 12,Cowichan Valley,Indian reserve,49.01848496,-123.8576646,0,0,0,Null,Null,0,15,0,0,0,0,8.3,0,0,0,10,0,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919822,Cowichan,Cowichan Valley,Indian reserve,48.76664631,-123.6742525,0,0,0,0,0,0,370,0,35,0,0,11,30,60,185,230,305,115,80,38886,20,15,30,45,80,70,65,45,65,30,20,10,0,39182
5921007,Nanaimo,Nanaimo,City,49.17972673,-123.9662989,348460,948,849,24.6,52.7,13.8,30860,1350,2660,700,725,15.1,4385,10645,11230,9950,25990,10210,0,48469,1065,870,1660,2245,3715,3735,3875,3330,5205,3960,2775,1700,2070,52744
5921008,Lantzville,Nanaimo,District municipality,49.23003422,-124.100239,448884,826,1003,21.2,44.4,0,1405,15,60,25,55,20.1,50,215,665,530,1330,135,0,61463,15,0,25,65,90,120,175,115,280,135,145,95,205,69426
5921010,Nanaimo A,Nanaimo,Regional district electoral area,49.08677307,-123.8476377,379927,893,1002,22,50.7,0,2940,20,90,70,80,20.2,165,730,1275,730,2525,380,0,55103,65,70,80,120,355,265,210,265,480,405,295,175,135,61420
5921014,Nanaimo B,Nanaimo,Regional district electoral area,49.15629093,-123.7862796,359015,399,800,19.3,40,10,1015,145,140,30,75,15.3,270,880,700,225,1870,205,0,46124,40,90,110,125,225,260,205,185,235,215,170,80,130,48133
5921016,Nanaimo C,Nanaimo,Regional district electoral area,49.12328839,-124.2827413,450250,664,851,18.9,39.4,0,1065,10,65,0,0,15.5,70,235,375,350,865,165,0,62102,0,0,25,80,55,90,50,115,140,145,125,70,120,70906
5921018,Parksville,Nanaimo,City,49.31746988,-124.3045907,341293,684,804,18.9,50.2,11.9,3355,40,365,40,80,10.8,385,2520,2295,485,4420,1265,0,46207,110,45,110,370,815,680,700,735,885,530,375,170,160,50261
5921023,Qualicum Beach,Nanaimo,Town,49.34539155,-124.4292803,400736,467,1012,12.9,55.3,8.1,1765,35,160,50,70,15.3,210,1475,1950,500,3700,425,0,51236,70,100,75,240,385,580,440,335,770,400,300,150,280,55445
5921030,Nanaimo E,Nanaimo,Regional district electoral area,49.2600716,-124.188004,501531,633,999,17.6,51.1,10.6,1705,15,70,45,90,20.2,150,775,1090,575,2355,235,0,61854,95,20,55,120,180,225,250,180,350,355,225,175,355,68463
5921032,Nanaimo F,Nanaimo,Regional district electoral area,49.27836665,-124.4635219,397358,782,764,23.6,57.7,0,2970,0,155,40,85,15.7,355,1100,1165,625,2465,785,0,44161,95,50,145,190,340,390,480,245,465,355,265,125,100,48519
5921034,Nanaimo G,Nanaimo,Regional district electoral area,49.32864891,-124.4077595,400068,599,1160,19.1,60.8,0,2250,45,135,55,55,15.7,55,935,1695,480,2910,260,0,55137,75,50,70,95,265,400,355,245,470,435,250,180,265,60726
5921036,Nanaimo H,Nanaimo,Regional district electoral area,49.37001081,-124.7284915,400588,467,946,15.3,56.1,7.6,1030,0,40,0,30,25.6,150,565,700,220,1310,330,0,44661,55,35,75,80,230,230,185,80,250,155,140,55,75,47404
5921804,Nanaimo Town 1,Nanaimo,Indian reserve,49.15048957,-123.9291346,0,0,0,0,0,0,60,0,30,0,0,5.7,0,25,50,50,55,20,40,35018,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,35408
5921805,Nanoose,Nanaimo,Indian reserve,49.25113633,-124.1226888,0,0,0,Null,Null,0,35,0,20,0,0,10.4,0,15,40,15,15,0,55,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5921806,Qualicum,Nanaimo,Indian reserve,49.39767634,-124.6137768,0,0,0,Null,Null,0,30,0,10,0,0,5.5,0,10,15,10,20,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5921807,Nanaimo River,Nanaimo,Indian reserve,49.12416998,-123.8801617,0,0,0,0,0,0,30,0,0,0,0,15.6,10,15,30,45,20,0,70,24001,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,24001
5923008,Port Alberni,Alberni-Clayoquot,City,49.24755572,-124.802173,235388,539,660,16.8,48.9,14.2,5265,200,465,80,55,10.3,800,2230,2760,2155,5380,2565,0,41964,170,250,505,630,990,1000,885,670,1170,660,510,360,140,44819
5923033,Alberni-Clayoquot B,Alberni-Clayoquot,Regional district electoral area,49.36004475,-124.9028833,320270,376,0,19.4,0,0,175,0,40,0,0,20.1,0,20,85,80,180,0,0,48452,Null,Null,Null,Null,Null,Null,Null,30,Null,Null,Null,Null,Null,50405
5923035,Alberni-Clayoquot D,Alberni-Clayoquot,Regional district electoral area,49.35226939,-125.2033724,500684,458,728,19.3,66.7,0,610,0,55,0,0,15.8,0,180,215,325,680,90,0,51616,0,0,0,25,85,45,105,65,70,70,80,55,105,53737
5923037,Alberni-Clayoquot E,Alberni-Clayoquot,Regional district electoral area,49.29941098,-124.8595548,299093,403,665,14.2,48.3,0,1120,0,30,0,20,12.3,70,305,450,355,1040,145,0,51540,15,30,45,20,125,175,115,140,140,150,100,80,45,55151
5923039,Alberni-Clayoquot F,Alberni-Clayoquot,Regional district electoral area,49.18936856,-124.7156896,276081,473,722,24.6,52.6,0,685,0,0,0,0,10.7,20,210,425,200,760,95,0,45403,45,0,0,25,110,100,120,120,140,65,40,30,40,50292
5923801,Ahahswinis 1,Alberni-Clayoquot,Indian reserve,49.26496628,-124.8254676,0,0,0,Null,Null,0,25,0,0,0,0,10.6,0,10,25,20,40,20,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5923803,Anacla 12,Alberni-Clayoquot,Indian reserve,48.80136361,-125.1219301,0,0,0,Null,Null,0,35,0,0,0,0,8,0,15,15,10,15,10,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5923807,Ittatsoo 1,Alberni-Clayoquot,Indian reserve,48.94041394,-125.526967,0,0,0,Null,Null,0,70,0,10,0,0,15.1,0,30,35,20,45,10,30,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5923808,Marktosis 15,Alberni-Clayoquot,Indian reserve,49.28078212,-126.060479,0,0,0,0,0,0,15,0,180,0,25,5.6,0,25,75,55,100,10,50,53888,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,Null,Null,Null,54828
5923813,Opitsat 1,Alberni-Clayoquot,Indian reserve,49.17638498,-125.9109646,0,0,0,Null,Null,0,0,0,0,0,35,30.7,0,15,15,10,0,0,45,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5923816,Tsahaheh 1,Alberni-Clayoquot,Indian reserve,49.27156983,-124.8693094,0,0,0,0,0,0,150,10,15,0,0,6,15,40,95,45,135,45,0,33576,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,33888
5923823,Esowista 3,Alberni-Clayoquot,Indian reserve,49.07204823,-125.7819881,0,0,0,Null,Null,0,45,0,0,0,0,15.5,0,0,20,15,35,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5923824,Refuge Cove 6,Alberni-Clayoquot,Indian reserve,49.36565732,-126.271813,0,0,0,Null,Null,0,0,0,30,0,0,5.2,0,0,10,10,20,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924029,Zeballos,Strathcona,Village,49.98714917,-126.8532348,174873,865,0,Null,Null,0,30,0,0,0,0,10.4,0,30,0,0,40,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924034,Campbell River,Strathcona,City,50.00212612,-125.29625,280082,841,790,18.3,48.4,14.6,11445,880,780,245,420,11,1075,3445,5755,3145,9975,3450,0,50664,355,220,530,950,1195,1505,1315,1035,2020,1590,1210,680,825,56362
5924039,Sayward,Strathcona,Village,50.37155538,-125.9481882,200004,333,1001,10,0,0,100,0,10,0,0,30.6,0,45,90,25,155,20,0,51360,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,60554
5924042,Strathcona D (Oyster Bay - Buttle Lake),Strathcona,Regional district electoral area,49.79280479,-125.6172668,320198,686,879,20.3,26.2,0,1675,20,35,20,30,20.1,60,325,960,340,1480,210,0,55413,70,25,20,75,80,185,140,160,320,200,185,85,140,64265
5924052,Strathcona B,Strathcona,Regional district electoral area,50.11407795,-124.9724614,300534,430,633,8,17.6,0,335,0,65,35,0,10.4,190,130,155,75,385,170,0,46882,0,0,35,25,100,55,40,90,90,40,15,0,30,50173
5924054,Strathcona C,Strathcona,Regional district electoral area,50.7623448,-124.9541757,324044,344,651,16.4,41.2,0,670,65,95,55,105,20.6,240,395,325,200,890,255,0,50544,15,45,45,55,115,120,150,115,220,115,30,85,50,54417
5924804,Campbell River 11,Strathcona,Indian reserve,50.03560472,-125.2519466,0,0,0,0,0,0,120,10,15,0,0,5.9,0,35,65,40,130,10,10,46991,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,48783
5924806,Houpsitas 6,Strathcona,Indian reserve,50.03131237,-127.377789,0,0,0,Null,Null,0,10,10,40,0,0,5.6,0,10,25,0,0,0,40,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924812,Quinsam 12,Strathcona,Indian reserve,50.01820461,-125.2919159,0,0,0,Null,Null,0,95,0,10,0,10,10.7,0,25,30,25,80,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924817,Cape Mudge 10,Strathcona,Indian reserve,50.01341078,-125.1893396,0,0,0,Null,Null,0,45,0,10,0,0,15.4,10,15,20,20,55,10,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924820,Tork 7,Strathcona,Indian reserve,50.12787306,-124.9347813,0,0,0,Null,Null,0,0,0,10,0,0,5.7,0,10,10,0,0,20,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924835,Tsa Xana 18,Strathcona,Indian reserve,49.8154875,-126.0772231,0,0,0,Null,Null,0,20,0,10,0,0,5.5,10,15,15,20,15,15,30,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924836,Ehatis 11,Strathcona,Indian reserve,49.9829072,-126.8616498,0,0,0,Null,Null,0,10,0,10,0,0,5.5,0,0,0,10,0,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5924840,Homalco 9,Strathcona,Indian reserve,49.95277586,-125.2441757,0,0,0,Null,Null,0,20,0,10,0,0,15.7,0,20,20,25,10,55,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5926005,Comox,Comox Valley,Town,49.69564305,-124.9108327,349086,707,864,13.2,45.1,17,4605,80,325,300,180,11.7,340,1600,2525,1515,4655,1320,0,54931,50,50,135,345,540,615,575,575,1000,855,520,310,385,61029
5926010,Courtenay,Comox Valley,City,49.69664141,-124.9794388,300382,736,810,17.2,53.1,12.2,8190,205,725,235,220,10.9,1045,3650,4190,2000,7575,3315,0,46002,195,170,555,825,1235,1410,1040,1030,1650,1250,825,305,410,50168
5926014,Cumberland,Comox Valley,Village,49.62984222,-125.0437686,324447,1189,982,31.4,56.9,29.4,1215,30,140,35,75,15.4,105,365,685,250,1150,255,0,47213,30,100,60,45,130,185,140,165,250,140,105,35,25,51809
5926021,Comox Valley A,Comox Valley,Regional district electoral area,49.5244161,-124.9141834,401146,523,650,16.1,34.1,7.6,2295,30,80,95,185,15.3,390,865,1255,710,2760,460,0,47826,35,45,130,220,335,445,365,275,475,305,260,135,185,50650
5926022,Comox Valley B (Lazo North),Comox Valley,Regional district electoral area,49.73498638,-124.966579,411285,625,914,17,52.1,0,2580,70,110,80,105,15.4,160,705,1220,840,2555,370,0,54666,40,50,80,165,290,250,310,230,460,350,290,195,215,62178
5926024,Comox Valley C (Puntledge - Black Creek),Comox Valley,Regional district electoral area,49.7188614,-125.2559122,394721,687,873,16.7,41.1,7.3,3265,55,95,145,170,20.8,140,995,1395,840,2890,485,0,58299,50,45,50,155,300,315,280,310,665,490,295,235,200,64166
5926801,Comox 1,Comox Valley,Indian reserve,49.67977896,-124.9547796,0,0,0,Null,Null,0,55,0,10,0,0,15.1,0,25,40,30,80,10,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5927008,Powell River,Powell River,City,49.86153922,-124.533742,260024,573,662,15.3,52.1,10.8,4375,140,420,65,120,10.3,600,1595,1955,1750,4610,1295,0,46972,100,145,295,325,510,820,710,620,740,580,565,260,235,50850
5927012,Powell River B,Powell River,Regional district electoral area,49.90029606,-124.4728365,300827,394,925,9.2,36.4,0,480,0,0,20,15,10.9,45,180,285,160,505,165,0,48521,0,0,45,60,45,85,50,100,110,65,55,35,15,55909
5927018,Powell River D,Powell River,Regional district electoral area,49.65253368,-124.3906862,174746,275,524,8.2,44.4,0,200,10,60,0,0,15.7,170,180,150,30,490,45,0,32686,15,0,0,30,125,50,100,30,55,35,25,0,10,34803
5927020,Powell River E,Powell River,Regional district electoral area,49.48289575,-124.2746005,210776,161,151,25,41.7,0,100,0,30,0,0,20.2,135,75,30,0,180,60,0,27392,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,28160
5927802,Sliammon 1,Powell River,Indian reserve,49.90567862,-124.6043958,0,0,0,0,0,0,130,0,20,0,0,15.5,30,70,120,55,160,50,65,23370,25,40,25,35,35,25,25,20,20,10,10,0,10,23370
5929005,Gibsons,Sunshine Coast,Town,49.40315759,-123.5161279,400465,869,916,24.8,48.3,10.8,1305,155,270,0,25,15.2,285,610,750,365,1415,605,0,48537,80,35,45,145,210,175,210,235,270,185,175,90,150,54088
5929011,Sechelt,Sunshine Coast,District municipality,49.48102616,-123.7611892,399711,604,1032,20.5,51,16.1,3260,260,200,50,100,12.2,485,1035,1900,875,3555,740,0,50684,120,40,105,195,485,480,430,470,515,595,335,185,350,56830
5929018,Sunshine Coast A,Sunshine Coast,Regional district electoral area,50.01708655,-123.9109873,421583,354,1149,19.8,47.5,0,775,0,70,0,40,20.4,165,615,465,175,1215,200,0,47945,40,0,0,25,190,180,220,150,220,180,100,45,25,50132
5929022,Sunshine Coast B,Sunshine Coast,Regional district electoral area,49.7189826,-123.6302282,499876,682,681,24.5,33.3,0,815,35,55,0,20,15.8,85,290,425,275,985,90,0,52788,0,20,0,30,60,85,125,125,195,100,110,45,105,61632
5929024,Sunshine Coast D,Sunshine Coast,Regional district electoral area,49.49738971,-123.6322737,500316,918,850,19.1,60.3,0,1025,70,125,0,40,18.1,280,295,400,390,1050,315,0,49677,55,60,75,45,105,130,190,90,185,195,85,50,100,53539
5929026,Sunshine Coast E,Sunshine Coast,Regional district electoral area,49.42077612,-123.544419,424581,773,1027,19.3,22.7,0,1260,115,70,45,25,15.5,85,350,635,365,1320,110,0,59565,25,0,20,100,105,120,130,115,255,220,135,110,95,65116
5929028,Sunshine Coast F,Sunshine Coast,Regional district electoral area,49.5418384,-123.4522551,448795,717,928,16.4,34.8,0,650,95,60,0,30,15.3,65,280,390,155,650,235,0,56387,40,0,0,30,130,60,105,40,175,75,80,50,75,63311
5929803,Sechelt (Part),Sunshine Coast,Indian government district,49.81037576,-123.789059,0,0,0,0,0,0,180,10,40,0,0,10.4,45,155,105,45,245,30,75,34081,10,15,20,40,50,45,50,20,45,25,15,0,0,34952
5931006,Squamish,Squamish-Lillooet,District municipality,49.74928381,-123.1373571,495859,1584,974,29.7,54.2,11.8,7410,320,440,300,95,11,765,1260,2830,1670,4740,1780,0,63966,185,95,270,290,355,610,640,340,845,855,830,445,760,72751
5931020,Whistler,Squamish-Lillooet,District municipality,50.09035566,-122.9942283,550642,1492,1298,40.4,51.8,15.4,3625,730,570,430,35,10.8,945,1050,1105,795,2500,1395,0,59105,175,45,65,170,225,450,320,285,555,555,420,200,445,65757
5931026,Lillooet,Squamish-Lillooet,District municipality,50.68299318,-121.9175417,200420,471,609,18.8,42.6,36.2,725,0,145,0,0,5.9,145,330,305,285,830,240,0,37920,20,45,65,120,145,125,60,115,120,95,75,15,65,41560
